Proliferation Rate,Expression Level,Condition
10.42253777,2.912105815,Knock Down
10.6249618,1.672114185,Knock Down
14.84591929,2.090984468,Knock Down
20.41904044,2.594304434,Knock Down
17.04571451,2.035436214,Knock Down
12.54144815,2.82971949,Knock Down
11.52513136,2.547715229,Knock Down
10.56778764,1.700725766,Knock Down
13.76170148,1.954836371,Knock Down
14.96711262,2.113365876,Knock Down
5.569469329,14.03679746,Wild Type
9.017781532,8.017283025,Wild Type
10.35242052,8.161492508,Wild Type
15.83149883,12.40242751,Wild Type
8.375766796,11.7388772,Wild Type
10.0807933,4.734751263,Wild Type
7.790262275,11.7450994,Wild Type
9.461258419,15.07806868,Wild Type
13.53213679,3.907414278,Wild Type
9.121692123,12.11774706,Wild Type
5.365264474,24.10862169,Overexpression
4.914866015,24.47090959,Overexpression
4.368022606,23.13399703,Overexpression
10.24673899,26.33409559,Overexpression
3.900205054,22.75053183,Overexpression
10.28531656,22.36509769,Overexpression
7.09177782,20.60985318,Overexpression
7.256476026,17.65896226,Overexpression
2.886241553,21.8264524,Overexpression
4.848591999,27.43629397,Overexpression